   1 4602 |  12 1.0    0      0    0    0   0%      0 |  30.8 -35.1   1   27  4.86k    1    0   0%      0   535n    8
   1 4602 |  11 1.0   16   1.1k    1    0   0%      0 |  31.3 -35.2   1   27  4.86k    1    0   0%      0   556n    8
   1 4602 |  11 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   525n    8

          |--------------------DL---------------------|-------------------------UL----------------------------------
 pci rnti | cqi  ri  mcs  brate   ok  nok  (%)  dl_bs | pusch  rsrp  ri  mcs  brate   ok  nok  (%)    bsr     ta  phr
   1 4602 |  11 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   567n    8
   1 4602 |  10 1.0   16   2.1k    2    0   0%      0 |  30.9 -36.0   1   27  9.73k    2    0   0%      0   573n    9
   1 4602 |  10 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   576n    9
   1 4602 |  11 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   559n    9
   1 4602 |  10 1.0   14    928    1    0   0%      0 |  31.5 -34.7   1   27  4.86k    1    0   0%      0   583n    8
   1 4602 |  10 1.0   14    928    1    0   0%      0 |  31.0 -35.8   1   27  9.73k    2    0   0%      0   583n    9
   1 4602 |  10 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   593n    9
   1 4602 |  10 1.0    0      0    0    0   0%      0 |  30.6 -35.3   1   27  9.73k    2    0   0%      0   584n    9
   1 4602 |  11 1.0   14    928    1    0   0%      0 |  31.7 -33.8   1   27  4.86k    1    0   0%      0   593n    8
   1 4602 |  11 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   598n    8
   1 4602 |  12 1.0    0      0    0    0   0%      0 |  31.7 -34.8   1   27  4.86k    1    0   0%      0   665n   10

          |--------------------DL---------------------|-------------------------UL----------------------------------
 pci rnti | cqi  ri  mcs  brate   ok  nok  (%)  dl_bs | pusch  rsrp  ri  mcs  brate   ok  nok  (%)    bsr     ta  phr
   1 4602 |  11 1.0    0      0    0    0   0%      0 |  30.2 -38.0   1   27  9.73k    2    0   0%      0   605n   12
   1 4602 |  11 1.0   15   2.0k    2    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   601n   12
   1 4602 |  10 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   626n   12
   1 4602 |  10 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   635n   12
   1 4602 |  11 1.0    0      0    0    0   0%      0 |  33.1 -22.6   1   27  4.86k    1    0   0%      0   636n    0
